epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,2555.69,0.98237,0.68236,1.13351,0.85427,0.79813,0.87873,0.55904,1.14513,0.6957,1.28434,0.0074458,0.0074458,0.0074458
131,2576.18,0.99297,0.69343,1.13731,0.83748,0.81261,0.88266,0.57196,1.15823,0.68179,1.29661,0.007426,0.007426,0.007426
132,2596.79,0.98502,0.66373,1.11267,0.84366,0.80852,0.8721,0.57702,1.14114,0.68917,1.29215,0.0074062,0.0074062,0.0074062
133,2618.27,0.9671,0.65878,1.11728,0.86689,0.80909,0.892,0.58108,1.15347,0.68443,1.30854,0.0073864,0.0073864,0.0073864
134,2636.95,0.97009,0.66509,1.11293,0.80628,0.83971,0.89257,0.57614,1.1658,0.68986,1.29567,0.0073666,0.0073666,0.0073666
135,2656.13,0.96392,0.66631,1.11297,0.7889,0.83296,0.8723,0.55652,1.15893,0.6843,1.30102,0.0073468,0.0073468,0.0073468
136,2675.47,0.97167,0.6454,1.11791,0.85285,0.80696,0.87882,0.55696,1.16888,0.69999,1.29633,0.007327,0.007327,0.007327
137,2694.21,0.97144,0.67205,1.1204,0.85815,0.82832,0.87664,0.57334,1.13905,0.67193,1.2949,0.0073072,0.0073072,0.0073072
138,2713.6,0.94149,0.65292,1.11151,0.84072,0.82983,0.87399,0.56005,1.14167,0.67667,1.30263,0.0072874,0.0072874,0.0072874
139,2732.9,0.98083,0.66223,1.1125,0.89649,0.8101,0.8886,0.56165,1.15005,0.68946,1.30287,0.0072676,0.0072676,0.0072676
140,2751.88,0.97147,0.66599,1.10908,0.87138,0.79994,0.88721,0.57627,1.12732,0.65836,1.27251,0.0072478,0.0072478,0.0072478
141,2770.52,0.98261,0.66709,1.12476,0.8475,0.81054,0.8773,0.56727,1.14255,0.6868,1.29958,0.007228,0.007228,0.007228
142,2790.26,0.93751,0.64569,1.10662,0.85793,0.81042,0.8677,0.55602,1.13295,0.69192,1.29403,0.0072082,0.0072082,0.0072082
143,2809.11,0.94623,0.65078,1.11602,0.87039,0.78433,0.86722,0.56151,1.1475,0.70581,1.29276,0.0071884,0.0071884,0.0071884
144,2828.2,0.96881,0.66018,1.11233,0.82868,0.84459,0.88705,0.57089,1.18033,0.70529,1.30863,0.0071686,0.0071686,0.0071686
145,2847.4,0.96226,0.63935,1.11385,0.83888,0.82216,0.88652,0.58421,1.13939,0.66815,1.27207,0.0071488,0.0071488,0.0071488
146,2866.49,0.94291,0.64346,1.10081,0.85252,0.82216,0.88377,0.58658,1.12359,0.66201,1.25501,0.007129,0.007129,0.007129
147,2886.47,0.94811,0.65015,1.10054,0.86367,0.8178,0.90027,0.5863,1.13306,0.65507,1.29128,0.0071092,0.0071092,0.0071092
148,2906.5,0.96498,0.65164,1.10081,0.87411,0.8052,0.89529,0.56656,1.14429,0.68078,1.27894,0.0070894,0.0070894,0.0070894
149,2925.26,0.94362,0.64062,1.10432,0.90524,0.78433,0.89289,0.5772,1.14653,0.66658,1.28338,0.0070696,0.0070696,0.0070696
150,2943.66,0.93712,0.63343,1.1038,0.8586,0.81845,0.89326,0.57268,1.15129,0.66191,1.28582,0.0070498,0.0070498,0.0070498
151,2962.82,0.93537,0.63447,1.1032,0.86572,0.79274,0.8778,0.57403,1.13331,0.67919,1.28026,0.00703,0.00703,0.00703
152,2981.52,0.93728,0.62328,1.09413,0.83187,0.81944,0.88191,0.57253,1.14995,0.67026,1.28765,0.0070102,0.0070102,0.0070102
153,3001.59,0.95058,0.63412,1.09815,0.83834,0.82828,0.8794,0.57517,1.12917,0.69042,1.2868,0.0069904,0.0069904,0.0069904
154,3020.69,0.92143,0.63301,1.09154,0.88128,0.80123,0.89191,0.57889,1.11339,0.67367,1.27815,0.0069706,0.0069706,0.0069706
155,3040.25,0.9351,0.63585,1.09696,0.86125,0.80949,0.89215,0.58278,1.12001,0.66826,1.2773,0.0069508,0.0069508,0.0069508
156,3059.17,0.95972,0.64433,1.10066,0.89036,0.78765,0.88984,0.56669,1.17603,0.69215,1.31384,0.006931,0.006931,0.006931
157,3077.99,0.95843,0.63708,1.10052,0.85487,0.80088,0.89062,0.58266,1.14826,0.66216,1.29623,0.0069112,0.0069112,0.0069112
158,3096.88,0.95199,0.63518,1.09745,0.86361,0.82561,0.89472,0.58448,1.13891,0.64149,1.29685,0.0068914,0.0068914,0.0068914
159,3114.91,0.95293,0.64642,1.11599,0.8747,0.79661,0.88561,0.57407,1.14812,0.65714,1.2921,0.0068716,0.0068716,0.0068716
160,3133.24,0.93358,0.63043,1.09706,0.8999,0.77574,0.8817,0.57716,1.14021,0.67456,1.28702,0.0068518,0.0068518,0.0068518
161,3151.7,0.9262,0.62267,1.0852,0.85508,0.83293,0.88796,0.57854,1.14819,0.64115,1.28592,0.006832,0.006832,0.006832
162,3171.05,0.94018,0.62224,1.09851,0.87081,0.82417,0.89342,0.57516,1.15623,0.66939,1.29671,0.0068122,0.0068122,0.0068122
163,3190.53,0.93392,0.62617,1.08971,0.85922,0.81416,0.88868,0.58558,1.13773,0.65969,1.28382,0.0067924,0.0067924,0.0067924
164,3208.44,0.93114,0.63335,1.0867,0.87991,0.81315,0.89968,0.58975,1.13058,0.63287,1.27874,0.0067726,0.0067726,0.0067726
165,3228.02,0.92918,0.6262,1.09733,0.82834,0.83755,0.90391,0.58254,1.15261,0.64019,1.29271,0.0067528,0.0067528,0.0067528
166,3248.33,0.92138,0.6211,1.09166,0.88374,0.79544,0.90212,0.57826,1.1639,0.62407,1.29732,0.006733,0.006733,0.006733
167,3267.51,0.91242,0.61922,1.08798,0.85338,0.80318,0.8885,0.57612,1.16748,0.64646,1.30843,0.0067132,0.0067132,0.0067132
168,3286.03,0.90991,0.61012,1.08861,0.84871,0.80606,0.90111,0.58181,1.15584,0.65363,1.31348,0.0066934,0.0066934,0.0066934
169,3305.25,0.92195,0.60529,1.08669,0.85936,0.82157,0.89902,0.58725,1.13206,0.63769,1.27949,0.0066736,0.0066736,0.0066736
170,3324.21,0.89144,0.59547,1.0796,0.85661,0.81777,0.88909,0.58398,1.13794,0.64275,1.29383,0.0066538,0.0066538,0.0066538
171,3342.26,0.93123,0.62578,1.08364,0.89433,0.80499,0.89928,0.58798,1.14994,0.63522,1.30271,0.006634,0.006634,0.006634
172,3361.24,0.89774,0.61214,1.07991,0.87483,0.82742,0.90614,0.57768,1.15741,0.61697,1.30083,0.0066142,0.0066142,0.0066142
173,3379.5,0.9029,0.59134,1.08343,0.89228,0.79219,0.89189,0.57281,1.16881,0.64548,1.3077,0.0065944,0.0065944,0.0065944
174,3399.39,0.9113,0.61597,1.08716,0.85431,0.81003,0.87968,0.56363,1.16401,0.67118,1.30706,0.0065746,0.0065746,0.0065746
175,3418.65,0.91893,0.61473,1.08474,0.85555,0.83074,0.89461,0.57277,1.1754,0.65483,1.33928,0.0065548,0.0065548,0.0065548
